Lon,Lat,OBJECTID,Longitude,Latitude,FID,OBJECTID_1,OBJECTID_12,ID,City_Department,Capital_Project_Number,Capital_Asset_Name,Capital_Project_Title,ID1,Project_Description,Neighborhood,Project_Status,Operating_Impact,FY17_Projected_Expenditure,Total_Project_Budget,Project_Schedule,City_Council_District,Investment_Categorization
-71.10580101,42.32174674,21,-71.1058004,42.32173807,20,69,54,486,School Department,CPS23855,J. F. Kennedy School,Security Related Improvements at Various Schools,486,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",East Boston,Annual Program,-1,45455,6500000,Initiating in FY17,District 1,Education
-71.03714949,42.33496381,22,-71.03714891,42.33495514,21,70,55,1,Fire Department,CFD24102,Engine 2 Ladder 19,Diesel Exhaust System Replacement,1,Replace diesel exhaust systems at all locations.,South Boston,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 2,Public Safety
-71.06854987,42.33995398,23,-71.06854927,42.33994531,22,71,56,2,Fire Department,CFD24102,Engine 3,Diesel Exhaust System Replacement,2,Replace diesel exhaust systems at all locations.,South End,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 2,Public Safety
-71.06567513,42.36086307,24,-71.06567453,42.3608544,23,72,57,3,Fire Department,CFD24102,Engine 4 Ladder 24,Diesel Exhaust System Replacement,3,Replace diesel exhaust systems at all locations.,Beacon Hill,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 2,Public Safety
-71.03019546,42.37905682,25,-71.03019488,42.37904814,24,73,58,4,Fire Department,CFD24102,Engine 5,Diesel Exhaust System Replacement,4,Replace diesel exhaust systems at all locations.,East Boston,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 1,Public Safety
-71.07098684,42.34893183,26,-71.07098625,42.34892316,25,74,59,5,Fire Department,CFD24102,Engine 7 Ladder 17,Diesel Exhaust System Replacement,5,Replace diesel exhaust systems at all locations.,South End,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 2,Public Safety
-71.05314615,42.3657921,27,-71.05314556,42.36578343,26,75,60,6,Fire Department,CFD24102,Engine 8 Ladder 1,Diesel Exhaust System Replacement,6,Replace diesel exhaust systems at all locations.,North End,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 1,Public Safety
-71.0387228,42.36806266,28,-71.03872221,42.36805399,27,76,61,7,Fire Department,CFD24102,Engine 9 Ladder 2,Diesel Exhaust System Replacement,7,Replace diesel exhaust systems at all locations.,East Boston,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 1,Public Safety
-71.08235085,42.32884095,29,-71.08235025,42.32883229,28,77,62,8,Fire Department,CFD24102,Engine 14 Ladder 4,Diesel Exhaust System Replacement,8,Replace diesel exhaust systems at all locations.,Roxbury,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 7,Public Safety
-71.07876908,42.2782941,30,-71.07876849,42.27828544,29,78,63,9,Fire Department,CFD24102,Engine 16,Diesel Exhaust System Replacement,9,Replace diesel exhaust systems at all locations.,Mattapan,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 4,Public Safety
-71.06160173,42.3077372,31,-71.06160114,42.30772854,30,79,64,10,Fire Department,CFD24125,Engine 17 Ladder 7,Engine 17,10,Design and construct a new fire station.,Dorchester,To Be Scheduled,0,250000,13000000,Initiating in FY17,District 3,Public Safety
-71.06384834,42.28650979,32,-71.06384775,42.28650113,31,80,65,11,Fire Department,CFD24102,Engine 18 Ladder 6,Diesel Exhaust System Replacement,11,Replace diesel exhaust systems at all locations.,Dorchester,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 3,Public Safety
-71.04781446,42.28859625,33,-71.04781387,42.28858759,32,81,66,12,Fire Department,CFD24102,Engine 20,Diesel Exhaust System Replacement,12,Replace diesel exhaust systems at all locations.,Dorchester,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 3,Public Safety
-71.0632094,42.31832404,34,-71.06320881,42.31831538,33,82,67,13,Fire Department,CFD24102,Engine 21,Diesel Exhaust System Replacement,13,Replace diesel exhaust systems at all locations.,Dorchester,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 3,Public Safety
-71.07753915,42.3404436,35,-71.07753855,42.34043493,34,83,68,14,Fire Department,CFD24102,Engine 22,Diesel Exhaust System Replacement,14,Replace diesel exhaust systems at all locations.,South End,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 7,Public Safety
-71.08223817,42.30748734,36,-71.08223758,42.30747867,35,84,69,15,Fire Department,CFD24102,Engine 24 Ladder 23,Diesel Exhaust System Replacement,15,Replace diesel exhaust systems at all locations.,Roxbury,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 4,Public Safety
-71.15342022,42.34269673,37,-71.1534196,42.34268806,36,85,70,18,Fire Department,CFD24092,Engine 29 Ladder 11,Building Envelope Repairs at Various Stations,18,"Building and envelope repairs at Engine 29, 32, 37, 53 and 56.",Allston/Brighton,To Be Scheduled,0,46000,2017500,Initiating in FY17,District 9,Public Safety
-71.15653959,42.28402594,38,-71.15653897,42.28401729,37,86,71,19,Fire Department,CFD24102,Engine 30 Ladder 25,Diesel Exhaust System Replacement,19,Replace diesel exhaust systems at all locations.,West Roxbury,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 6,Public Safety
-71.07160134,42.3838264,39,-71.07160074,42.38381772,38,87,72,20,Fire Department,CFD24092,Engine 32 Ladder 9,Building Envelope Repairs at Various Stations,20,"Building and envelope repairs at Engine 29, 32, 37, 53 and 56.",Charlestown,To Be Scheduled,0,46000,2017500,Initiating in FY17,District 1,Public Safety
-71.08555477,42.34812817,40,-71.08555417,42.3481195,39,88,73,21,Fire Department,CFD24102,Engine 33 Ladder 15,Diesel Exhaust System Replacement,21,Replace diesel exhaust systems at all locations.,Back Bay,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 8,Public Safety
-71.09605607,42.33720695,41,-71.09605547,42.33719828,40,89,74,22,Fire Department,CFD24092,Engine 37 Ladder 26,Building Envelope Repairs at Various Stations,22,"Building and envelope repairs at Engine 29, 32, 37, 53 and 56.",Roxbury,To Be Scheduled,0,46000,2017500,Initiating in FY17,District 7,Public Safety
-71.05048177,42.3395876,42,-71.05048118,42.33957893,41,90,75,23,Fire Department,CFD24102,Engine 39 Ladder 18,Diesel Exhaust System Replacement,23,Replace diesel exhaust systems at all locations.,South Boston,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 2,Public Safety
-71.13610495,42.35381047,43,-71.13610433,42.3538018,42,91,76,24,Fire Department,CFD24102,Engine 41 Ladder 14,Diesel Exhaust System Replacement,24,Replace diesel exhaust systems at all locations.,Allston/Brighton,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 9,Public Safety
-71.09772961,42.31838317,44,-71.09772901,42.31837451,43,92,77,25,Fire Department,CFD24126,Engine 42,Engine 42,25,Design and construct a new fire station.,Roxbury,In Design,-1,790000,10000000,Near Baseline,District 6,Public Safety
-71.11988241,42.25510989,45,-71.11988181,42.25510124,44,93,78,26,Fire Department,CFD24102,Engine 48 Ladder 28,Diesel Exhaust System Replacement,26,Replace diesel exhaust systems at all locations.,Hyde Park,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 5,Public Safety
-71.13124648,42.23682056,46,-71.13124588,42.23681191,45,94,79,27,Fire Department,CFD24102,Engine 49,Diesel Exhaust System Replacement,27,Replace diesel exhaust systems at all locations.,Hyde Park,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 5,Public Safety
-71.06115456,42.37423766,47,-71.06115397,42.37422899,46,95,80,28,Fire Department,CFD23280,Engine 50,Engine 50,28,"Full building renovation including exterior masonry work, upgrades to building systems, and widening of apparatus doors.",Charlestown,In Design,-1,200000,3510000,Near Baseline,District 1,Public Safety
-71.16818315,42.35126868,48,-71.16818252,42.35126002,47,96,81,29,Fire Department,CFD24102,Engine 51,Diesel Exhaust System Replacement,29,Replace diesel exhaust systems at all locations.,Allston/Brighton,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 9,Public Safety
-71.08969987,42.29089623,49,-71.08969928,42.29088757,48,97,82,30,Fire Department,CFD24102,Engine 52 Ladder 29,Diesel Exhaust System Replacement,30,Replace diesel exhaust systems at all locations.,Dorchester,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 4,Public Safety
-71.11745324,42.27899446,50,-71.11745264,42.27898581,49,98,83,31,Fire Department,CFD24092,Engine 53 Ladder 16,Building Envelope Repairs at Various Stations,31,"Building and envelope repairs at Engine 29, 32, 37, 53 and 56.",Roslindale,To Be Scheduled,0,46000,2017500,Initiating in FY17,District 5,Public Safety
-71.15487439,42.26396484,51,-71.15487377,42.26395619,50,99,84,32,Fire Department,CFD24102,Engine 55,Diesel Exhaust System Replacement,32,Replace diesel exhaust systems at all locations.,West Roxbury,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 6,Public Safety
-71.00419138,42.38775044,52,-71.00419081,42.38774176,51,100,85,33,Fire Department,CFD24092,Engine 56  Ladder 21,Building Envelope Repairs at Various Stations,33,"Building and envelope repairs at Engine 29, 32, 37, 53 and 56.",East Boston,To Be Scheduled,0,46000,2017500,Initiating in FY17,District 1,Public Safety
-70.99038251,42.3072875,53,-70.99038195,42.30727883,52,101,87,35,Fire Department,CFD24102,Fire Academy,Diesel Exhaust System Replacement,35,Replace diesel exhaust systems at all locations.,Harbor Islands,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 3,Public Safety
-71.09108151,42.34629845,54,-71.09108091,42.34628978,53,102,88,36,Fire Department,CFD23144,Fire Alarm,HVAC / Boiler Replacement at Various Stations,36,"Install / upgrade boilers, heating, and lighting systems.",Fenway/Kenmore,In Construction,-1,53057,3218861,Baseline Project,District 8,Public Safety
-71.06951509,42.33152956,55,-71.0695145,42.33152089,54,103,89,37,Fire Department,CFD24099,Fire Headquarters,Fire Headquarters Repairs,37,Address water infiltration issues in the building facade and windows; replace one boiler.,Dorchester,To Be Scheduled,0,0,2000000,Starting after FY17,District 3,Public Safety
-71.11441469,42.31056632,56,-71.11441408,42.31055766,55,106,92,42,Fire Department,CFD24102,Engine 28 Tower Ladder 10,Diesel Exhaust System Replacement,42,Replace diesel exhaust systems at all locations.,Jamaica Plain,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 6,Public Safety
-71.05242117,42.35527186,57,-71.05242058,42.35526318,56,107,93,43,Fire Department,CFD24102,Engine 10 Tower Ladder 3,Diesel Exhaust System Replacement,43,Replace diesel exhaust systems at all locations.,Financial District/Downtown,To Be Scheduled,0,10226,4517000,Initiating in FY17,District 2,Public Safety
-71.09154102,42.28485455,58,-71.09154042,42.28484589,57,108,94,49,Police Department,CPD24530,Area B-3 Station,Area B-3 Roof Replacement,49,Replace the roof.,Mattapan,New Project,0,92653,560000,Initiating in FY17,District 5,Public Safety
-71.14852837,42.28682692,59,-71.14852776,42.28681826,58,112,98,54,Police Department,CPD24531,Area E-5 Station,Area E-5 Roof Replacement,54,Replace the roof.,West Roxbury,New Project,0,79614,500000,Initiating in FY17,District 6,Public Safety
-71.13544877,42.28745669,60,-71.13544816,42.28744803,59,114,330,1409,Parks and Recreation Department,CPR24002,Fallon Field,Fallon Field Playground,1409,Overall park and play lot refurbishment and installation of safety surfacing.,Roslindale,In Design,-1,617807,910000,Baseline Project,District 5,"Environment, Energy & Open Space"
-71.12383622,42.2883432,61,-71.12383562,42.28833455,60,115,331,1410,Parks and Recreation Department,CPR24220,Healy Playground,Healy Field Playground,1410,"Play lot renovation including play structures, site furnishings, fencing and landscaping.",Roslindale,In Design,0,592000,665000,Initiating in FY17,District 5,"Environment, Energy & Open Space"
-71.07145626,42.31951696,62,-71.07145567,42.31950829,61,121,348,1428,Parks and Recreation Department,CPR23573,Hannon Park,Mary Hannon Playground,1428,"Major park renovation including drainage; fencing and wall repairs; and new landscaping, play structure, and safety surfacing.",Roxbury,In Construction,-1,317500,914083,Baseline Project,District 7,"Environment, Energy & Open Space"
-71.14110128,42.28126416,63,-71.14110067,42.28125551,62,124,352,500,School Department,CPS23855,Mozart School,Security Related Improvements at Various Schools,500,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Roslindale,Annual Program,-1,45455,6500000,Initiating in FY17,District 5,Education
-71.04944799,42.29450344,64,-71.0494474,42.29449477,63,125,353,501,School Department,CPS24323,Murphy School,School Yard Improvements at Murphy School,501,Design and construction of school yard improvements at the Murphy School.,Dorchester,In Design,-1,450000,500000,Near Baseline,District 3,Education
-71.14956848,42.26073188,65,-71.14956787,42.26072323,64,128,356,506,School Department,CPS24513,Ohrenberger School,School Yard Improvements at Ohrenberger School,506,"Install new play structures, safety surfacing, and landscaping improvements.",West Roxbury,In Construction,-1,276000,376000,Baseline Project,District 6,Education
-71.11779901,42.28539687,66,-71.1177984,42.28538821,65,133,361,511,School Department,CPS23855,Philbrick School,Security Related Improvements at Various Schools,511,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Roslindale,Annual Program,-1,45455,6500000,Initiating in FY17,District 4,Education
-71.06491457,42.34799033,67,-71.06491398,42.34798166,66,134,362,512,School Department,CPS23855,Qunicy School,Security Related Improvements at Various Schools,512,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Chinatown,Annual Program,-1,45455,6500000,Initiating in FY17,District 2,Education
-71.12690367,42.28649803,68,-71.12690306,42.28648937,67,139,367,517,School Department,CPS24332,Sumner School,Window Replacements at 7 Schools,517,"Complete a feasibility study and develop schematic designs for window replacement projects at Community Academy, Curley School, Ellis School, McKay K-8 School, Sumner School, TechBoston Academy, and Young Achievers K-8 School in partnership with the MSBA",Roslindale,In Design,-1,467308,25743163,Near Baseline,District 5,Education
-71.1553678,42.34758576,69,-71.15536718,42.34757709,68,145,373,523,School Department,CPS24538,Winship School,Doors at Winship School,523,Install new interior smoke doors.,Allston/Brighton,In Construction,-1,100000,253000,Baseline Project,District 9,Education
-71.1311642,42.36471555,70,-71.13116358,42.36470687,69,148,598,1268,Parks and Recreation Department,CPR24426,Smith Playground,Smith Playground,1268,"Improvements to playground, new water spray feature, amphitheater, passive community space, and Western Avenue street improvements.",Allston/Brighton,New Project,0,250000,3500000,Initiating in FY17,District 9,"Environment, Energy & Open Space"
-71.08165828,42.35095441,71,-71.08165769,42.35094574,70,149,599,1270,Parks and Recreation Department,CPR23481,Commonwealth Mall,Commonwealth Avenue Mall,1270,Repair and upgrade existing pathways.,Back Bay,To Be Scheduled,0,0,500000,Starting after FY17,District 8,"Environment, Energy & Open Space"
-71.05416264,42.36872582,72,-71.05416205,42.36871715,71,150,115,80,Boston Center for Youth and Families,CCC24544,Mirabella Poolhouse,North End Community Center,80,Develop a building program and assess siting options for the design and construction of a new community center.,North End,New Project,0,75000,100000,Initiating in FY17,District 1,Health & Human Services
-71.15358307,42.34827338,73,-71.15358245,42.34826472,72,151,116,81,Property and Construction Management,CPM24110,Veronica Smith Senior Center,Veronica Smith Center Bathrooms and Flooring,81,Renovate bathrooms and replace flooring.,Allston/Brighton,In Design,0,300000,683000,Initiating in FY17,District 9,Operations
-71.07667611,42.32692208,74,-71.07667551,42.32691341,73,152,117,82,Boston Center for Youth and Families,CCC23654,Vine Street Community Center,BCYF Vine Street Community Center,82,"Interior facility repairs and renovations include upgrades of all mechanical systems and boilers; new roof, window and exterior and interior door replacements; athletic facility improvements and teledata upgrades; and new furniture and equipment.",Roxbury,To Be Scheduled,0,300000,5340000,Near Baseline,District 7,Health & Human Services
-71.05485453,42.3602071,75,-71.05485394,42.36019843,74,153,118,83,Property and Construction Management,CPM24373,Faneuil Hall,Faneuil Hall,83,"Repair brownstone, historic doors and windows.",Government Center/Faneuil Hall,New Project,0,75000,1950000,Initiating in FY17,District 2,Operations
-71.17997044,42.27837441,76,-71.17996981,42.27836576,75,155,120,85,Library Department,CLD24188,201 Rivermoor Street,Permanent Collections Storage Study,85,Develop space requirements for the collections at 201 Rivermoor Street of the BPL and the City's Archives and Records Management Division. Examine available space and assess the feasibility and cost of expanding the storage facility.,West Roxbury,New Project,0,75000,75000,Initiating in FY17,District 6,Arts and Culture
-71.05798843,42.36038793,77,-71.05798784,42.36037926,76,157,122,94,Property and Construction Management,CPM24317,City Hall,City Hall,94,"Early action items identified for implementation from the City Hall Master Plan at City Hall, 26 Court Street, or 43 Hawkins Street. Also supports general repairs to the City's downtown municipal office buildings.",Government Center/Faneuil Hall,In Design,-1,1000000,40000000,Near Baseline,District 2,Operations
-71.06136389,42.36286305,78,-71.0613633,42.36285438,77,161,126,102,Property and Construction Management,CPM24112,Home for Women,41 New Chardon Street Improvements,102,"Install a new boiler, replace all rooftop AC units, install new windows and a chair lift.",West End,To Be Scheduled,0,0,3500000,Starting after FY17,District 2,Operations
-71.09587556,42.30973057,79,-71.09587496,42.3097219,78,164,129,115,School Department,CPS23855,White Stadium,Security Related Improvements at Various Schools,115,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Roxbury,Annual Program,-1,45455,6500000,Initiating in FY17,District 7,Education
-71.08236631,42.27522274,80,-71.08236572,42.27521408,79,168,133,155,Boston Center for Youth and Families,CCC24322,Gallivan Community Center,BCYF Gallivan Community Center,155,"Replace roof and gym floor, provide air conditioning in the gymnasium, upgrade the fire alarm system and emergency lighting, and upgrade power outlets and selected lighting.",Mattapan,In Design,-1,1100000,1600000,Near Baseline,District 4,Health & Human Services
-71.06922505,42.325579,81,-71.06922446,42.32557033,80,170,135,160,Boston Center for Youth and Families,CCC24130,Mason Pool,Boilers and HVAC Improvements,160,"Replace existing boilers and HVAC systems at BCYF Nazarro, BCYF Mason Pool, and BCYF Martin Pino community centers.

",Roxbury,To Be Scheduled,0,0,1650000,Starting after FY17,District 3,Health & Human Services
-71.09324982,42.3346773,82,-71.09324922,42.33466864,81,171,136,162,Boston Center for Youth and Families,CCC24329,Thomas Johnson Community Center (Mission H),BCYF Johnson Community Center,162,"Replace roof and gym floor, provide air conditioning in the gymnasium, upgrade the fire alarm system and emergency lighting, and upgrade power outlets and selected lighting.",Mission Hill,To Be Scheduled,0,0,1350000,Starting after FY17,District 8,Health & Human Services
-71.05450996,42.36530956,83,-71.05450937,42.36530088,82,172,137,165,Boston Center for Youth and Families,CCC24130,Nazarro Community Center,Boilers and HVAC Improvements,165,"Replace existing boilers and HVAC systems at BCYF Nazarro, BCYF Mason Pool, and BCYF Martin Pino community centers.

",North End,To Be Scheduled,0,0,1650000,Starting after FY17,District 1,Health & Human Services
-71.01079715,42.38894168,84,-71.01079657,42.388933,83,174,139,190,Boston Center for Youth and Families,CCC24130,Orient Heights Community Center,Boilers and HVAC Improvements,190,"Replace existing boilers and HVAC systems at BCYF Nazarro, BCYF Mason Pool, and BCYF Martin Pino community centers.

",East Boston,To Be Scheduled,0,0,1650000,Starting after FY17,District 1,Health & Human Services
-71.07870125,42.34921793,85,-71.07870066,42.34920926,84,177,142,198,Library Department,CLD23014,Central Library: Johnson Building,Central Library Energy Improvements,198,"Replacement of pumps, air handling units and cooling tower, building management system upgrade, lighting efficiencies/energy efficient lighting, and refurbishment of chiller.",Back Bay,In Construction,-1,334557,5774973,Baseline Project,District 2,Arts and Culture
-71.05439007,42.28625809,86,-71.05438948,42.28624943,85,179,144,200,Library Department,CLD24532,Adams Street Branch,Adams Street Branch Library,200,Design and construct a new branch library. Develop a building program that reflects the Boston Public Library's Compass Principles and supports the needs of the neighborhood.,Dorchester,New Project,0,100000,12600000,Initiating in FY17,District 3,Arts and Culture
-71.09582503,42.31416591,87,-71.09582443,42.31415725,86,186,151,207,Library Department,CLD21628,Egleston Square Branch,Egleston Square Branch Library,207,Assess the existing interior and exterior physical conditions and systems according to how ably the branch can accomplish the Compass principles; develop and implement an improvement plan.,Roxbury,To Be Scheduled,0,0,916267,Starting after FY17,District 6,Arts and Culture
-71.16787341,42.35130248,88,-71.16787278,42.35129381,87,187,152,208,Library Department,CLD22668,Faneuil Branch,Faneuil Branch Library,208,"Library branch improvements consistent with the BPL's Compass Principles and based on the completed programming study which calls for improved accessibility, interior renovations and refurbishment as well as a building addition.",Allston/Brighton,To Be Scheduled,0,0,1118650,Starting after FY17,District 9,Arts and Culture
-71.0603657,42.29888378,89,-71.06036511,42.29887512,88,188,153,209,Library Department,CLD24520,Fields Corner Branch,Fields Corner Branch Library,209,Conduct a facility assessment and develop a building program that reflects the BPL's Compass Principles and supports the needs of the neighborhood. Design and construct a new branch library.,Dorchester,New Project,0,0,12100000,Starting after FY17,District 4,Arts and Culture
-71.11479651,42.308653,90,-71.1147959,42.30864434,89,190,155,211,Library Department,CLD23236,Jamaica Plain Branch,Jamaica Plain Branch Library,211,"Renovate existing branch and build an addition to improve access and programming.  Service improvements will include circulation and collection areas, shelving, electrical system updates, and other items.",Jamaica Plain,In Construction,-1,5600000,10000000,Baseline Project,District 6,Arts and Culture
-71.05498211,42.36405214,91,-71.05498152,42.36404347,90,193,158,214,Library Department,CLD21306,North End Branch,North End Branch Library,214,Assess the existing interior and exterior physical conditions and systems according to how ably the branch can accomplish the Compass principles; develop and implement an improvement plan.,North End,To Be Scheduled,0,0,1475000,Starting after FY17,District 1,Arts and Culture
